occid,catalognumber,family,sciname,cleanedname,eventdate,island,locality,decimalLatitude,decimallongitude,coordinateUncertaintyInMeters
36994,126520,Amastridae,Amastra micans,Amastra micans,1934-02-18,Oahu,Waianae Mountains; Huliwai; Loc. 2 = W400 B-2,21.451557,-158.088841,50
36995,126521,Amastridae,Amastra micans,Amastra micans,1934-02-18,Oahu,Waianae Mountains; Huliwai; Loc. 2 = W400 B-2,21.451557,-158.088841,50
37034,126560,Amastridae,Amastra micans,Amastra micans,1934-02-18,Oahu,Waianae Mountains; Huliwai; Loc. 7 = W400-14,21.454461,-158.092344,100
37054,126580,Amastridae,Amastra micans,Amastra micans,1934-02-18,Oahu,Waianae Mountains; Huliwai; Loc. 8 = W400-9,21.45494,-158.095412,50
37039,126565,Amastridae,Amastra micans,Amastra micans,1934-02-18,Oahu,Waianae Mountains; Huliwai; Loc. 7-1/2 = W400-15,21.455233,-158.092749,50
37040,126566,Amastridae,Amastra micans,Amastra micans,1934-02-18,Oahu,Waianae Mountains; Huliwai; Loc. 7-1/2 = W400-15,21.455233,-158.092749,50
35650,125222,Amastridae,Amastra micans,Amastra micans,1934-02-25,Oahu,Waianae Mountains; Ekahanui; Valley III; Loc. 1 = W410 C-8,21.441823,-158.093318,50
35651,125223,Amastridae,Amastra micans,Amastra micans,1934-02-25,Oahu,Waianae Mountains; Ekahanui; Valley III; Loc. 1 = W410 C-8,21.441823,-158.093318,50
35698,125270,Amastridae,Amastra micans,Amastra micans,1934-02-25,Oahu,Waianae Mountains; Ekahanui; Valley III; Loc. 3 = W410 C-6,21.441968,-158.09615,50
35699,125271,Amastridae,Amastra micans,Amastra micans,1934-02-25,Oahu,Waianae Mountains; Ekahanui; Valley III; Loc. 3 = W410 C-6,21.441968,-158.09615,50
35753,125325,Amastridae,Amastra micans,Amastra micans,1934-02-25,Oahu,Waianae Mountains; Ekahanui; Valley III; Loc. 4 = W410 C-5,21.442205,-158.096943,50
35823,125395,Amastridae,Amastra micans,Amastra micans,1934-02-25,Oahu,Waianae Mountains; Ekahanui; Valley III; Loc. 6 = W410 C-3,21.443233,-158.097369,50
35577,125149,Amastridae,Amastra micans,Amastra micans,1934-03-04,Oahu,Waianae Mountains; Ekahanui; Valley IV; Loc. 3 = W410B-5,21.444449,-158.096323,83
35601,125173,Amastridae,Amastra micans,Amastra micans,1934-03-04,Oahu,Waianae Mountains; Ekahanui; Valley IV; Loc. 4 = W410B-4,21.444752,-158.096756,50
35614,125186,Amastridae,Amastra micans,Amastra micans,1934-03-04,Oahu,Waianae Mountains; Ekahanui; Valley IV; Loc. 5 = W410A-3,21.446345,-158.095846,50
37096,126622,Amastridae,Amastra micans,Amastra micans,1934-03-11,Oahu,Waianae Mountains; Huliwai; Loc. 3 = W400-13,21.453457,-158.09453,50
37097,126623,Amastridae,Amastra micans,Amastra micans,1934-03-11,Oahu,Waianae Mountains; Huliwai; Loc. 3 = W400-13,21.453457,-158.09453,50
37098,126624,Amastridae,Amastra micans,Amastra micans,1934-03-11,Oahu,Waianae Mountains; Huliwai; Loc. 3 = W400-13,21.453457,-158.09453,50
37099,126625,Amastridae,Amastra micans,Amastra micans,1934-03-11,Oahu,Waianae Mountains; Huliwai; Loc. 3 = W400-13,21.453457,-158.09453,50
37129,126655,Amastridae,Amastra micans,Amastra micans,1934-03-11,Oahu,Waianae Mountains; Huliwai>Waieli; Loc. 4 = W400-11,21.454461,-158.092344,100
37162,126688,Amastridae,Amastra micans,Amastra micans,1934-03-11,Oahu,Waianae Mountains; Waieli; Loc. 6 = W370 D-3 = W371 D-3,21.4576,-158.096782,100
37163,126689,Amastridae,Amastra micans,Amastra micans,1934-03-11,Oahu,Waianae Mountains; Waieli; Loc. 6 = W370 D-3 = W371 D-3,21.4576,-158.096782,100
37164,126690,Amastridae,Amastra micans,Amastra micans,1934-03-11,Oahu,Waianae Mountains; Waieli; Loc. 6 = W370 D-3 = W371 D-3,21.4576,-158.096782,100
52536,170074,Amastridae,Amastra micans,Amastra micans,1935-01-01,Oahu,Waianae Mountains; (Haleauau),21.503072,-158.108431,3467
52540,170078,Amastridae,Amastra micans,Amastra micans,1935-01-01,Oahu,Waianae Mountains; [Haleauau],21.503072,-158.108431,3467
48639,165179,Amastridae,Amastra micans,Amastra micans,1936-03-15,Oahu,Waianae Mountains; South Haleauau; Loc. 3 = W320H-2,21.496443,-158.132331,50
48664,165204,Amastridae,Amastra micans,Amastra micans,1936-04-26,Oahu,Waianae Mountains; South Haleauau; Loc. 3 = W320H-3,21.495818,-158.133333,50
